Code,state,date,precip,max_temp,min_temp,wind_speed
AL,alabama,2022,2.71,13.47,5.04,15.91
AK,alaska,2022,3.98,29.26,17.96,6.35
AZ,arizona,2022,7.13,30.34,20.19,4.88
AR,arkansas,2022,2.24,21.76,10.25,18.49
CA,california,2022,0.21,25.87,11.84,14.42
CO,colorado,2022,1.05,17.97,3.26,11.15
CT,connecticut,2022,3.19,16.57,6.29,10.39
DE,delaware,2022,3.02,16.31,7.05,12.77
FL,florida,2022,12.69,23.29,14.93,4.83
GA,georgia,2022,0.97,20.13,9.31,8.58
HI,hawaii,2022,0.53,24.78,15.23,9.3
ID,idaho,2022,0.88,13.44,0.96,11.43
IL,illinois,2022,2.21,15.7,5.72,16.01
IN,indiana,2022,2.98,17.1,7.85,12.65
IA,iowa,2022,2.28,15.58,5.07,16.2
KS,kansas,2022,2.86,19.15,8.18,15.21
KY,kentucky,2022,0.73,26.96,13.31,15.62
LA,louisiana,2022,2.92,17.83,7.35,14.38
ME,maine,2022,0.98,35.17,22.51,15.51
MD,maryland,2022,2.95,19.23,9.09,13.03
MA,massachusetts,2022,2.81,16.03,5.92,11.82
MI,michigan,2022,2.75,14.31,6.39,16.43
MN,minnesota,2022,2.63,12.19,2.52,14.04
MS,mississippi,2022,3.64,24.19,12.72,10.48
MO,missouri,2022,2.75,27.2,17.48,13.33
MT,montana,2022,1.47,20.26,9.68,10.75
NE,nebraska,2022,2.02,17.85,6.64,17.05
NV,nevada,2022,6.68,20.82,13.39,3.08
NH,new%20hampshire,2022,2.67,15.52,6.02,15.67
NJ,new%20jersey,2022,2.92,17.19,9.67,14.17
NM,new%20mexico,2022,3.03,21.52,10.52,8.79
NY,new%20york,2022,2.93,16.81,9.51,15.35
NC,north%20carolina,2022,2.98,21.35,10.38,10.3
ND,north%20dakota,2022,2.43,12.68,2.97,13.88
OH,ohio,2022,2.32,14.78,4.82,15.92
OK,oklahoma,2022,2.11,24.1,12.11,18.65
OR,oregon,2022,3.46,17.5,6.96,7.79
PA,pennsylvania,2022,2.92,14.8,4.14,9.46
RI,rhode%20island,2022,2.89,16.33,7.36,12.5
SC,south%20carolina,2022,2.56,24.18,11.98,11.66
SD,south%20dakota,2022,1.7,11.39,1.13,16.54
TN,tennessee,2022,2.49,16.49,6.47,15.56
TX,texas,2022,3.07,26.09,18.19,14.8
UT,utah,2022,0.54,31.51,25.44,23.9
VT,vermont,2022,2.82,17.02,6.74,14.82
VA,virginia,2022,2.72,19.91,12.99,16.31
WA,washington,2022,3.45,19.33,9.53,10.14
WV,west%20virginia,2022,2.29,17.75,6.2,8.33
WI,wisconsin,2022,2.39,11.27,2,15.11
WY,wyoming,2022,2.54,13.78,4.59,14.84
